userNo,cluster_asignado,silhouette_individual,ratio_ambiguedad,en_frontera
s03404ce0773535c2bbf7707fbeca4461,0,0.8932982741799934,0.04484642159020109,False
s034e29ecad163613b217e860ed65d31b,0,0.8105651149478853,0.13748342860084192,False
s035474ca6699307eac0f5abaa975304e,0,0.8903583053165754,0.04969955346268104,False
s0359c6ca84e437c49fc9419bb89131fc,0,0.8893740521917551,0.0491409595411484,False
s035cea9bf9d13558906c04c016a5c652,0,0.8840995758283393,0.053459825105721254,False
s0361d61d371d30d18e477171bc9fd3f8,0,0.8487060498433112,0.11070603066200344,False
s036a106577373d9b88d82df9e0b924c1,0,0.8299773166004246,0.13370427868313683,False
s037879695e9132d59f6a8310eb29dda2,0,0.8911154656132921,0.046174259338434165,False
s03a7f3528e9236e6b332e6a08d46bdae,0,0.8677337740969525,0.08281005389497671,False
s03b7f30a09a438198bd7330d9b34f60e,0,0.8937146254902542,0.04050528518813809,False
s03ca59c1fbc63ce099f1d7bc2713badc,0,0.8883235111726681,0.051461484171136544,False
s03fe812539193892855b17e589732cb9,0,0.6477559296633654,0.35256781718256697,False
s041575fa7bf633f09023384315180639,0,0.8926378623739023,0.03824445649376452,False
s0425401638b635f59426123351a58812,0,0.8922595044672101,0.037103985522846786,False
s0458b694bbb13a54851ec97830138ab8,0,0.8542132876115319,0.10221696186249268,False
s0468c02fcaf7320a8e72eb9faf216f01,0,0.8787044692110724,0.06383197092811047,False
s047d11788b5830659b618abc654643f4,0,0.8793570772317647,0.05510465551979169,False
s04b2845ade233d0382dd48c9d28518d6,0,0.8764806716813907,0.06337202460336379,False
s04cf29e6fc5f39cfb17ca66c8b249a7d,0,0.8854850444688923,0.050638488519207915,False
s04dc03e449273ffc840492b788883bed,0,0.8635824177095243,0.07133419539756541,False
s04f93ba7e403356eb2edfa384d4037f1,0,0.8902269826253243,0.04546014438891024,False
s0506d710045135238fa41fee0c58e378,0,0.8962683781516422,0.03837335293594727,False
s052de70be08b3c219123f48b81145feb,0,0.8669731056682463,0.08382622462150258,False
